"Month","Date","Cell","Line","Machine","Machine No","Shift","Category","Time","Problem","Cause Why1","Cause Why2","Cause Why3","Cause Why4","Cause Why5","Action","Counter Measure","Problem Category","Breakdown Category","Is Action Temporary?","Done By","Status"
"Apr","02-04-2024 T20:33","Final Assy","ENG Sealer Block-02","Spray Sealer","EEAT-194","B","BM","42","Thinner abnormal flow condition","Machine Not auto running.","Thinner circulation abnormal error.","Thinner not circulated.","Thinner not proper circulate from return path ","Design Issue","Thinner flow adjusted .,Flow sensor cleaned .,Thinner flow adjusted from valve after that ok.","We all ready shared to maker about this issue.","Mechanical","Design","No","Neeraj,Sandeep Dhama","Under MTD HOSS Approval"
"Apr","02-04-2024 T17:42","Mounting","MA5","Reflow Oven","EETP-083","B","BM","28","N2 pressure trouble error coming","N2 Pressure Switch Off","N2 Pressure Drop","N2 Element Dirty","NA","na","N2 Element Filter Clean","Need to revise Freq if reoccur","Pneumatic","Part-Failure","No","Neeraj,Dalip Khajuria","Completed"
"Apr","02-04-2024 T11:06","Mounting","AOI-08","AOI-08","EETP-130","A","BM","24","Belt Come out While Running","Belt Come out while PCB take","Pulley out from Motor shaft","Pulley groove screw loosen","Groove screw thread NG","","Belt take out,Check Pulley and found Groove Screw Loosen,Groove Screw Retighten","Need to Check Pulley and Groove Screw Assembly if reoccurs","Mechanical","Wear","No","Ujjawal,Anshul Gupta","Completed"
"Apr","03-04-2024 T06:25","Mounting","MA3","SP60","EETP-035","A","BM","25","Camera Height Error (Upper)","Camera Height Error upper","Camera unit Upper confirmation not coming ","Upper slit sensor not ON","Sensor dirty  ","NA","machine power OFF.,Camera manually up/Down motion check found OK working.,Camera Up/Down confirmation sensor cleaning done.,Machine power ON And machine origin done OK. Take test print found OK.","","Electrical","Communication","No","Ujjawal,Jaydev Mal","Completed"
"Apr","03-04-2024 T20:30","Final Assy","Cell Sensor","RT Tester","EEAT-168","B","CM","90","Automatically door not opening.","Automatically door not opening.","During movement time sound coming from Actuator.","Actuator Faulty.","Part failure.",".","Actuator sensor checked .,Its alignment Checked .,Actuator wiring checked found ok.,Finally Actuator power unit changed with spare after that ok.","Actuator power unit Changed .","Both","Part-Failure","No","Neeraj,Mangal Ram Kanwar","Completed"
"Apr","03-04-2024 T21:09","Final Assy","FA-AB1","FAL-AB-HT","EEAT-117","B","BM","16","Step no. 20, 40, 50 MIsjudgment coming (model 8821)","Step no. 20, 40, 50 MIsjudgment coming (model 8821)","Ng step releted circuit incomplete","Between the Product & Harness properly not contact","Harness pin bend (QTY-04)","Harness pin NG","During runing misjudgment coming, So harness clean with air but ng,,Harness take out from Line & all pin condition check & found 4 pins NG,So Harness ng pin changed with spare new, after that ok master check ok","","Mechanical","Part-Failure","No","Mangal Ram Kanwar","Completed"
"Apr","04-04-2024 T01:05","Final Assy","FA-AB2","Packaging Jig-02","EEAT-131","C","BM","20","Abnormal sound while screw tighting","Screw driver bit stucked","Bit holder machanical problem","This part not repairable","Desion issue",".","Bit take out & insert again","","Mechanical","Part-Failure","No","Subhash Sheoran","Completed"
"Apr","04-04-2024 T07:10","Mounting","MA4","NPM-06","EETP-057","A","BM","30","Head Overload Anomaly Error Theta-1","Theta-1 over load ","Theta-1 have taken over current","Theta Motor Assembly Take Overcurrent when Tries to Rotate","Suspected Belt Tension NG","Belt Tension Tighten","Machine restart.,Theta-1 manually moved,Nozzle take out and theta-1  manually rotate then machine origin OK","If Reoccurs, Need to Change Belt","Both","Communication","Yes","Ujjawal,Ashish Gupta","Completed"
"Apr","04-04-2024 T16:02","Final Assy","ENG Sealer Block-03","MRC","EEAT-219","B","BM","15","Product not scanning.","Scanning Alarm.","Product Barcode not scanning.","Product barcode not coming on range .","New model .","","Product Barcode Teaching done with PED .","If again issue occur , So as per PED maker will Teach.","Electrical","Design","No","Neeraj","Completed"
"Apr","04-04-2024 T17:24","Mounting","MA6","NPM-1","EETP-121","B","BM","11","PCB carry in Error","PCB carry in Error","PCB confirmation Sensor not on within time","PCB movement hard ","PCB side issue","NA","PCB belt condition & sensor check,PCB placed in front of sensor & reconfirm","NA","Mechanical","Communication","No","Dalip Khajuria","Completed"
