"Month","Date","Cell","Line","Machine","Machine No","Shift","Category","Time","Problem","Cause Why1","Cause Why2","Cause Why3","Cause Why4","Cause Why5","Action","Counter Measure","Category","Is Action Temporary?","Done By","Status"
"Apr","03-04-2024 T09:10","Fuel Pump","SIFS # 5","Zebra tube assy","M-EN-FP-SIF-5-050-1","A","CM","10","Handle broken","During Continuous Running","During Continuous Running","During Continuous Running","N/A","N/A","Handle Change with new one","NA","Problem Category- Mechanical,Breakdown Category- Wear","No","Yogesh Kumar,Anil Kumar","Completed"
"Apr","03-04-2024 T12:25","Fuel Pump","SIFS # 5","Electrical inspection M/C","M-EN-FP-SIF-5-110-1","A","CM","2","Master was coming NG during Running","Air Valve was off","Valve MADE OFF after yesterday production.","NA","NA","NA","Air Valve Open","NA","Problem Category- Pneumatic,Breakdown Category- Process","No","Yogesh Kumar","Completed"
"Apr","03-04-2024 T14:17","Fuel Pump","SIFS # 5","Pump & suction filter assy","M-EN-FP-SIF-5-010-1","A","CM","3","HANDLE BROKEN","MACHNE RUNNING FROM lONG TIME","NA","NAN","NAN","NA","HANDLE CHANGE","NA","Problem Category- Mechanical,Breakdown Category- Wear","No","Yogesh Kumar","Completed"
"Apr","03-04-2024 T17:55","Injector","Housing-3","LASER MARKING MACHINE","HSG3-4020","B","BM","20","Resistance NG coming ","Resistance NG coming","resistance check value coming in higher side ","resistance check probe proper not touch the terminal","probe was bend","part life over","all contact probe changed with new","Probe change frequency to be defined. ","Problem Category- Mechanical,Breakdown Category- Part-Failure","No","Sandeep Kumar","Completed"
"Apr","04-04-2024 T05:21","Injector","Housing-2","LASER MARKING MACHINE","HSG2-4020","C","BM","30","Impulse check probe wire broken found","Impulse check not happening","Electrical signal not send","Impulse check electrical loop incomplete","impulse check probe wire found broken","Stress on wire during impulse check process","Checked & found wire was broken from thimbling area.,Wire re-thimbling done after that OK.","PM POINT is available","Problem Category- Electrical,Breakdown Category- Wear","No","Tinku,Salman ","Completed"
"Apr","04-04-2024 T11:55","Injector","UC # 3","NOZZLE BODY PRESS FITTING","UC3-020","A","BM","35","Transfer Gripper found in disturbed position.","Transfer Gripper position disturbed.","Gripper not moving.","Gripper front mounting guide found in open condition.","Gripper mounting disloacte from spline block.","Mounting guide thread got damaged.","Open the gripper then found mounting guide thread area broken in spline block.Try to remove broken part but working area was no enough. So temporary assemble mouting guide after that home position done.After that m/c running under observation.","N/A","Problem Category- Mechanical,Breakdown Category- Wear","Yes","Kartikey,Gaurav,Akshay","Completed"
"Apr","04-04-2024 T16:35","Injector","Housing-3","LASER MARKING MACHINE","HSG3-4020","B","BM","20","resistance ng coming some part ","resistance ng coming some part","resistance value show data mismatched","actual value zero not saved in resistance unit",".",".","resistance zero setting done ","","Problem Category- Electrical,Breakdown Category- Design","No","Anil Kumar,Tarkeshwar Prasad","Completed"
"Apr","04-04-2024 T19:55","Fuel Pump","FP-Assy","PERFORMANCE INSPECTION","M-EN-FP-FPA-1-230-1,2","B","BM","58","Residual pressure NG coming in 1st station both jig","residual pressure ng coming in both station L60 model","can not reach oil flow in part","oil flow coming in lower side ","regulator proper not working ","regulator was ng ","regulator changed with new",".","Problem Category- Mechanical,Breakdown Category- Part-Failure","No","Sandeep Kumar,Tarkeshwar Prasad","Completed"
"Apr","05-04-2024 T02:21","Injector","UC # 3","SUB ASSY WASHING","UC3-050","C","BM","60","Loader down fault was coming","Loader down fault","Loader not complete its down stroke ","loader chuck -1 part hit with table jig","chuck-1 not chuck part properly",".","loading / unloading all part taken out and memory reset then mc come home ,mc power on/off but fault not goes,then found in PLC fault reset by touch panel button ( wound no conf.)",".","Problem Category- Electrical,Breakdown Category- Part-Failure","No","Keshav,Santosh kumar Majhi","Completed"
"Apr","05-04-2024 T10:40","Injector","Housing-2","TERMINAL PRESS FIT & HEIGHT CHECK","HSG2-1010","A","BM","23","Terminal Drop","na","na","na","na","na","Press fit position change","na","Problem Category- Electrical,Breakdown Category- Wear","No","Yogesh Kumar","Completed"
"Apr","05-04-2024 T16:44","Injector","Housing-1","WIRE WINDING","EIHS-031","B","BM","66","All tail stopper wear out from  bottom position","Part getting lift-up during winding","Pusher not properly pushing the spool","Gap was available between spool & pusher","Pusher found wear out","Continuous use","Checked & found part gets lift-up from st. 2,Checked st. 2 & found tail stock (pusher) was wear out.,All tail stocks replaced with new.","-","Problem Category- Mechanical,Breakdown Category- Wear","No","Anil Kumar,Tarkeshwar Prasad","Completed"
